"기능","우선순위","테스트","상태","결과","다음조치","파일"
"턴 시작","높음","상태이상 갱신","대기","아직 QA 전","턴 시작 테스트 작성","TurnController.cs"
"턴 시작","높음","쿨타임 감소","대기","아직 QA 전","쿨타임 값 변화 확인","TurnController.cs"
"턴 종료","높음","마나 회복","대기","아직 QA 전","턴 종료 후 마나 확인","Player.cs"
"일반 공격","높음","HP 감소","대기","아직 QA 전","일반 공격 결과 확인","BattleController.cs"
"일반 공격","중간","Plate 정렬","대기","아직 QA 전","적 사망 후 Plate 정렬 확인","PlateController.cs"
"특수 공격","높음","대상 선택","대기","아직 QA 전","Heal/Damage 대상 구분 확인","BattleController.cs"
"상태이상","높음","Poison 적용","대기","아직 QA 전","턴마다 HP 감소 확인","Summon.cs"
"상태이상","높음","Shield 적용","대기","아직 QA 전","방어막 증가 확인","Summon.cs"
"상태이상","중간","Stun/Curse 적용","대기","아직 QA 전","공격 가능 여부 확인","Summon.cs"
"승패 판정","높음","승리 Alert","대기","아직 QA 전","적 전멸 시 Alert 확인","BattleAlert.cs"
"승패 판정","높음","패배 Alert","대기","아직 QA 전","Clear Turn 초과 확인","BattleAlert.cs"

